max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,100.0,inf,0.0,42,1,False,2,3.736966609954834,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,1,False,5,3.9270853996276855,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,2,False,0,4.152754545211792,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,2,False,1,3.97748064994812,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,2,False,2,4.165435791015625,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,2,False,5,4.377758741378784,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,3,False,0,4.256240367889404,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,3,False,1,4.061238050460815,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,3,False,2,4.264952659606934,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,3,False,5,4.023667573928833,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,1,False,0,3.771501064300537,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,1,False,1,3.8807878494262695,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,1,False,2,3.732970952987671,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,1,False,5,4.016206979751587,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,2,False,0,4.056987285614014,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,2,False,1,4.086797475814819,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,2,False,2,4.142232656478882,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,2,False,5,3.9440340995788574,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,3,False,0,4.267757892608643,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.1,42,3,False,1,4.123857259750366,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
