n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,cosine,average,1000.0,20,47.70064425468445,-0.0188,3701.031,1.3853,0.4158,0.0342,0.1018,0.0715,0.0717,0.1845,0.0445,0.0717,0.3029,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,average,100.0,20,47.63667726516724,-0.0188,3701.031,1.3853,0.4158,0.0342,0.1018,0.0715,0.0717,0.1845,0.0445,0.0717,0.3029,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,average,inf,20,47.80257725715637,-0.0188,3701.031,1.3853,0.4158,0.0342,0.1018,0.0715,0.0717,0.1845,0.0445,0.0717,0.3029,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,complete,1000.0,20,40.71358919143677,0.0701,2997.6504,1.7211,0.4023,0.0179,0.0745,0.0502,0.0503,0.1349,0.0309,0.0503,0.2687,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,complete,100.0,20,40.8812210559845,0.0701,2997.6504,1.7211,0.4023,0.0179,0.0745,0.0502,0.0503,0.1349,0.0309,0.0503,0.2687,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,complete,inf,20,41.00233054161072,0.0701,2997.6504,1.7211,0.4023,0.0179,0.0745,0.0502,0.0503,0.1349,0.0309,0.0503,0.2687,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,single,1000.0,20,9.422867059707642,-0.404,576.0118,3.6472,0.6354,0.0641,0.0086,0.0227,0.0232,0.0156,0.045,0.0232,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,single,100.0,20,9.444348573684692,-0.404,576.0118,3.6472,0.6354,0.0641,0.0086,0.0227,0.0232,0.0156,0.045,0.0232,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
12,cosine,single,inf,20,9.465110778808594,-0.404,576.0118,3.6472,0.6354,0.0641,0.0086,0.0227,0.0232,0.0156,0.045,0.0232,0.7767,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,average,1000.0,20,47.80048298835754,0.3963,1622.9607,0.746,0.636,0.0849,0.0166,0.0387,0.0391,0.0301,0.0559,0.0391,0.7698,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,average,100.0,20,47.62288975715637,0.3963,1622.9607,0.746,0.636,0.0849,0.0166,0.0387,0.0391,0.0301,0.0559,0.0391,0.7698,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,average,inf,20,47.56149315834045,0.3963,1622.9607,0.746,0.636,0.0849,0.0166,0.0387,0.0391,0.0301,0.0559,0.0391,0.7698,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,complete,1000.0,20,45.92854142189026,0.127,3542.5349,1.4658,0.4994,0.0938,0.0676,0.0648,0.065,0.1224,0.0442,0.065,0.4986,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,complete,100.0,20,46.0822811126709,0.127,3542.5349,1.4658,0.4994,0.0938,0.0676,0.0648,0.065,0.1224,0.0442,0.065,0.4986,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,complete,inf,20,46.00984191894531,0.127,3542.5349,1.4658,0.4994,0.0938,0.0676,0.0648,0.065,0.1224,0.0442,0.065,0.4986,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,single,1000.0,20,8.275485754013062,0.5333,542.8145,0.3685,0.639,0.0205,0.0072,0.0237,0.0243,0.013,0.1996,0.0243,0.797,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,single,100.0,20,8.243882894515991,0.5333,542.8145,0.3685,0.639,0.0205,0.0072,0.0237,0.0243,0.013,0.1996,0.0243,0.797,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,single,inf,20,8.258534908294678,0.5333,542.8145,0.3685,0.639,0.0205,0.0072,0.0237,0.0243,0.013,0.1996,0.0243,0.797,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,ward,1000.0,20,43.7289719581604,0.1626,6141.4041,1.2792,0.4123,0.0232,0.0859,0.0614,0.0615,0.1555,0.0383,0.0615,0.3029,skl_agglomerativeClust,adultONEHOT_y.zip
12,euclidean,ward,100.0,20,43.82331943511963,0.1626,6141.4041,1.2792,0.4123,0.0232,0.0859,0.0614,0.0615,0.1555,0.0383,0.0615,0.3029,skl_agglomerativeClust,adultONEHOT_y.zip
