amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,2,inf,100,0.4916207790374756,0.1755,11986.3572,1.621,0.4053,-0.0097,0.0211,0.0163,0.0165,0.0383,0.0105,0.0165,0.3186,pyc_xmeans,adult_y.zip
12,2,inf,20,0.4605007171630859,0.2127,12994.2989,1.4141,0.4021,-0.0099,0.0308,0.0234,0.0236,0.0558,0.0149,0.0236,0.3067,pyc_xmeans,adult_y.zip
12,6,1000.0,100,0.4519455432891845,0.197,12808.455,1.5413,0.4,-0.0126,0.0336,0.0254,0.0256,0.0609,0.0162,0.0256,0.3023,pyc_xmeans,adult_y.zip
12,6,1000.0,20,0.4760885238647461,0.2119,11812.4972,1.4635,0.413,-0.0068,0.0254,0.0209,0.021,0.046,0.0136,0.021,0.3423,pyc_xmeans,adult_y.zip
12,6,100.0,100,0.4060976505279541,0.2025,12565.512,1.4432,0.4075,0.0022,0.0448,0.0339,0.034,0.0812,0.0215,0.034,0.3115,pyc_xmeans,adult_y.zip
12,6,100.0,20,0.6933205127716064,0.1991,12803.6649,1.5647,0.3987,-0.0119,0.0247,0.0185,0.0187,0.0448,0.0118,0.0187,0.2962,pyc_xmeans,adult_y.zip
12,6,20.0,20,0.4340317249298095,0.1967,12561.6442,1.5579,0.4016,-0.0136,0.02,0.0153,0.0154,0.0362,0.0098,0.0154,0.3099,pyc_xmeans,adult_y.zip
12,6,inf,100,0.5193917751312256,0.1898,12866.2607,1.6082,0.3959,-0.013,0.0282,0.0207,0.0208,0.0512,0.013,0.0208,0.2867,pyc_xmeans,adult_y.zip
12,6,inf,20,0.535926103591919,0.1919,13122.4874,1.5908,0.3964,-0.0047,0.0257,0.0184,0.0185,0.0465,0.0116,0.0185,0.2768,pyc_xmeans,adult_y.zip
2,10,1000.0,100,0.6236100196838379,0.2184,14390.4292,1.5235,0.4097,-0.0172,0.018,0.0148,0.0149,0.0326,0.0097,0.0149,0.3434,pyc_xmeans,adult_y.zip
2,10,1000.0,20,0.6430110931396484,0.2327,12423.7953,1.4983,0.4275,-0.012,0.016,0.0146,0.0147,0.029,0.0098,0.0147,0.3942,pyc_xmeans,adult_y.zip
2,10,100.0,100,0.598172664642334,0.2179,14235.36,1.48,0.4119,-0.0149,0.0182,0.0151,0.0153,0.033,0.0099,0.0153,0.3481,pyc_xmeans,adult_y.zip
2,10,100.0,20,0.5908730030059814,0.2226,13086.7376,1.3755,0.4336,-0.0048,0.0269,0.0246,0.0247,0.0487,0.0165,0.0247,0.405,pyc_xmeans,adult_y.zip
2,10,20.0,20,0.6879317760467529,0.2054,14343.5667,1.5699,0.4081,-0.0127,0.0203,0.0165,0.0166,0.0368,0.0107,0.0166,0.3323,pyc_xmeans,adult_y.zip
