n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,500,Cao,11,False,42,4,0.1000392436981201,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,1000.0,20.0,kmodes,aggregation_y.zip
10,500,Cao,11,False,42,4,0.0945961475372314,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,100.0,20.0,kmodes,aggregation_y.zip
10,500,Cao,11,False,42,4,0.0950114727020263,-0.4367,3.2978,5.9864,0.3013,-0.0199,0.0804,0.041,0.073,0.0474,0.1587,0.073,0.4069,inf,20.0,kmodes,aggregation_y.zip
12,100,Cao,11,False,42,4,0.1051812171936035,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,1000.0,20.0,kmodes,aggregation_y.zip
12,100,Cao,11,False,42,4,0.1070945262908935,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,100.0,20.0,kmodes,aggregation_y.zip
12,100,Cao,11,False,42,4,0.1059846878051757,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,inf,20.0,kmodes,aggregation_y.zip
12,300,Cao,11,False,42,4,0.1056320667266845,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,1000.0,20.0,kmodes,aggregation_y.zip
12,300,Cao,11,False,42,4,0.1057655811309814,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,100.0,20.0,kmodes,aggregation_y.zip
12,300,Cao,11,False,42,4,0.1050519943237304,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,inf,20.0,kmodes,aggregation_y.zip
12,500,Cao,11,False,42,4,0.1049952507019043,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,1000.0,20.0,kmodes,aggregation_y.zip
12,500,Cao,11,False,42,4,0.1059658527374267,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,100.0,20.0,kmodes,aggregation_y.zip
12,500,Cao,11,False,42,4,0.1070222854614257,-0.4691,3.3984,5.5496,0.3218,-0.0208,0.0916,0.042,0.0793,0.0541,0.1484,0.0793,0.3969,inf,20.0,kmodes,aggregation_y.zip
2,100,Cao,11,False,42,4,0.0561766624450683,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,1000.0,20.0,kmodes,aggregation_y.zip
2,100,Cao,11,False,42,4,0.0512948036193847,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,100.0,20.0,kmodes,aggregation_y.zip
2,100,Cao,11,False,42,4,0.0510916709899902,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,inf,20.0,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0522358417510986,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,1000.0,20.0,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0522465705871582,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,100.0,20.0,kmodes,aggregation_y.zip
2,300,Cao,11,False,42,4,0.0557954311370849,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,inf,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.0521121025085449,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,1000.0,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.050288438796997,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,100.0,20.0,kmodes,aggregation_y.zip
2,500,Cao,11,False,42,4,0.0510029792785644,-0.1479,2.5679,2.5668,0.2258,-0.0046,0.0086,0.0051,0.0098,0.0051,0.1382,0.0098,0.4562,inf,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0616796016693115,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0629506111145019,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,100,Cao,11,False,42,4,0.0633275508880615,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.0628736019134521,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.061511754989624,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,300,Cao,11,False,42,4,0.0614161491394043,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0618109703063964,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,1000.0,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0628917217254638,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,100.0,20.0,kmodes,aggregation_y.zip
4,500,Cao,11,False,42,4,0.0626835823059082,-0.3343,3.8716,2.5941,0.2513,-0.0007,0.0295,0.0186,0.0315,0.0174,0.1678,0.0315,0.45,inf,20.0,kmodes,aggregation_y.zip
