n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
6,300,Cao,11,False,42,4,0.0497040748596191,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,inf,20.0,kmodes,zelnik5_y.zip
6,500,Cao,11,False,42,4,0.0633249282836914,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,,,kmodes,zelnik5_y.zip
6,500,Cao,11,False,42,4,0.0497083663940429,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,1000.0,20.0,kmodes,zelnik5_y.zip
6,500,Cao,11,False,42,4,0.0487372875213623,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,100.0,20.0,kmodes,zelnik5_y.zip
6,500,Cao,11,False,42,4,0.048884630203247,0.2754,3.2294,0.5069,0.2618,0.0014,0.0146,0.0015,0.0201,0.0106,0.2064,0.0201,0.4972,inf,20.0,kmodes,zelnik5_y.zip
8,100,Cao,11,False,42,4,0.0747675895690918,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,,,kmodes,zelnik5_y.zip
8,100,Cao,11,False,42,4,0.0561349391937255,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,1000.0,20.0,kmodes,zelnik5_y.zip
8,100,Cao,11,False,42,4,0.0566592216491699,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,100.0,20.0,kmodes,zelnik5_y.zip
8,100,Cao,11,False,42,4,0.0561153888702392,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,inf,20.0,kmodes,zelnik5_y.zip
8,300,Cao,11,False,42,4,0.0761716365814209,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,,,kmodes,zelnik5_y.zip
8,300,Cao,11,False,42,4,0.0565643310546875,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,1000.0,20.0,kmodes,zelnik5_y.zip
8,300,Cao,11,False,42,4,0.0570857524871826,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,100.0,20.0,kmodes,zelnik5_y.zip
8,300,Cao,11,False,42,4,0.0559813976287841,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,inf,20.0,kmodes,zelnik5_y.zip
8,500,Cao,11,False,42,4,0.0786774158477783,0.2646,3.2056,0.5089,0.2662,0.0021,0.0205,0.0022,0.0277,0.0148,0.2074,0.0277,0.4958,,,kmodes,zelnik5_y.zip
