max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
6,12,30,50,20,20,0.1,2.8691868782043457,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,30,5,20,20,0.0,2.785673856735229,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,30,5,20,20,0.1,2.7893807888031006,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,3,50,20,20,0.0,2.8879780769348145,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,3,50,20,20,0.1,2.692826271057129,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,3,5,20,20,0.0,2.890958070755005,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,12,3,5,20,20,0.1,2.842759370803833,-0.05,219.3912,2.8028,VarianceParTree,wine.zip
6,2,30,50,20,20,0.0,0.4806475639343261,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,30,50,20,20,0.1,0.4728093147277832,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,30,5,20,20,0.0,0.4895009994506836,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,30,5,20,20,0.1,0.5061602592468262,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,3,50,20,20,0.0,0.4830694198608398,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,3,50,20,20,0.1,0.4802761077880859,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,3,5,1000,100,0.0,3.7217342853546143,0.1506,702.4202,2.5987,VarianceParTree,wine.zip
6,2,3,5,1000,100,0.1,3.837280511856079,0.1506,702.4202,2.5987,VarianceParTree,wine.zip
6,2,3,5,1000,20,0.0,3.726011514663696,0.1506,702.4202,2.5987,VarianceParTree,wine.zip
6,2,3,5,1000,20,0.1,3.803601980209351,0.1506,702.4202,2.5987,VarianceParTree,wine.zip
6,2,3,5,20,20,0.0,0.4777595996856689,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,2,3,5,20,20,0.1,0.4827816486358642,0.1236,416.8859,2.8511,VarianceParTree,wine.zip
6,4,30,50,20,20,0.0,1.0359535217285156,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,30,50,20,20,0.1,1.0405571460723877,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,30,5,20,20,0.0,1.0474786758422852,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,30,5,20,20,0.1,1.0906002521514893,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,3,50,20,20,0.0,1.0523653030395508,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,3,50,20,20,0.1,1.0903849601745603,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,3,5,1000,100,0.0,9.217429876327516,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
6,4,3,5,1000,100,0.1,9.178242206573486,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
6,4,3,5,1000,20,0.0,9.239753723144531,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
6,4,3,5,1000,20,0.1,9.263096570968628,0.0426,460.4997,2.9649,VarianceParTree,wine.zip
6,4,3,5,20,20,0.0,1.0870137214660645,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,4,3,5,20,20,0.1,1.029207468032837,0.0359,329.7981,3.7848,VarianceParTree,wine.zip
6,6,30,50,20,20,0.0,1.6730098724365234,0.018,331.1301,3.4424,VarianceParTree,wine.zip
6,6,30,50,20,20,0.1,1.5936269760131836,0.018,331.1301,3.4424,VarianceParTree,wine.zip
6,6,30,5,20,20,0.0,1.6774203777313232,0.018,331.1301,3.4424,VarianceParTree,wine.zip
6,6,30,5,20,20,0.1,1.63506817817688,0.018,331.1301,3.4424,VarianceParTree,wine.zip
6,6,3,50,20,20,0.0,1.5725650787353516,0.018,331.1301,3.4424,VarianceParTree,wine.zip
6,6,3,50,20,20,0.1,1.5455503463745115,0.018,331.1301,3.4424,VarianceParTree,wine.zip
