amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,2,0.0082690715789794,0.4798,39729.8386,0.7043,0.7862,0.4054,1.235,0.6862,0.6885,1.0,0.525,0.6885,0.5782,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,2,0.0093066692352294,0.5005,38866.4544,0.7116,0.7948,0.434,1.235,0.6978,0.7001,1.0,0.5386,0.7001,0.6008,100.0,20.0,pyc_xmeans,2d-4c_y.zip
12,2,0.008958101272583,0.4966,35458.0179,0.778,0.7983,0.4455,1.235,0.6968,0.6991,1.0,0.5373,0.6991,0.6097,inf,20.0,pyc_xmeans,2d-4c_y.zip
12,6,0.0098950862884521,0.5,41803.1898,0.7395,0.7804,0.3856,1.235,0.6828,0.6851,1.0,0.521,0.6851,0.5623,,,pyc_xmeans,2d-4c_y.zip
12,6,0.0088438987731933,0.5266,41119.968,0.7139,0.7844,0.3992,1.235,0.6875,0.6898,1.0,0.5265,0.6898,0.5733,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
12,6,0.0083286762237548,0.557,40389.1596,0.6211,0.7934,0.4294,1.235,0.7021,0.7043,1.0,0.5436,0.7043,0.5972,100.0,20.0,pyc_xmeans,2d-4c_y.zip
12,6,0.0091745853424072,0.5561,35006.9843,0.6922,0.8055,0.4693,1.235,0.7124,0.7146,1.0,0.556,0.7146,0.628,inf,20.0,pyc_xmeans,2d-4c_y.zip
2,10,0.0126030445098876,0.4702,30180.4733,0.675,0.8089,0.4801,1.235,0.7261,0.7279,1.0,0.5722,0.7279,0.6362,,,pyc_xmeans,2d-4c_y.zip
2,10,0.0111260414123535,0.6499,17232.3037,0.5292,0.8817,0.6996,1.235,0.7888,0.7903,1.0,0.6533,0.7903,0.7948,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
2,10,0.0125832557678222,0.5911,17624.7681,0.5865,0.8738,0.6772,1.2308,0.772,0.7735,0.9966,0.6321,0.7735,0.7791,100.0,20.0,pyc_xmeans,2d-4c_y.zip
2,10,0.0127005577087402,0.5871,17579.1165,0.6011,0.8777,0.6881,1.2309,0.7778,0.7793,0.9967,0.6398,0.7793,0.7868,inf,20.0,pyc_xmeans,2d-4c_y.zip
2,14,0.0150191783905029,0.4725,23093.1056,0.6312,0.7861,0.4049,1.235,0.6722,0.675,1.0,0.5094,0.675,0.5778,,,pyc_xmeans,2d-4c_y.zip
2,14,0.0140519142150878,0.4604,22575.2538,0.6633,0.7887,0.4137,1.235,0.6777,0.6805,1.0,0.5158,0.6805,0.5848,1000.0,20.0,pyc_xmeans,2d-4c_y.zip
2,14,0.0133037567138671,0.4592,22528.0454,0.6503,0.7912,0.4222,1.235,0.6816,0.6844,1.0,0.5202,0.6844,0.5915,100.0,20.0,pyc_xmeans,2d-4c_y.zip
2,14,0.0143787860870361,0.4751,23057.2834,0.6265,0.7888,0.414,1.235,0.6775,0.6804,1.0,0.5156,0.6804,0.585,inf,20.0,pyc_xmeans,2d-4c_y.zip
