max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,1000.0,20.0,0.0,42,entropy,mape,6.889004945755005,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,entropy,r2,7.174085855484009,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,gini,mape,6.401846170425415,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,gini,r2,7.5013108253479,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,me,mape,5.852283000946045,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.0,42,me,r2,6.283062934875488,-0.1276,22.953,2.5543,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,entropy,mape,6.851617097854614,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,entropy,r2,7.242178201675415,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,gini,mape,6.439252614974976,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,gini,r2,7.528531551361084,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,me,mape,5.900839805603027,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.1,42,me,r2,7.69892430305481,0.0347,51.9791,2.7144,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,entropy,mape,6.850226163864136,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,entropy,r2,7.222156047821045,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,gini,mape,6.447696924209595,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,gini,r2,7.527317047119141,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,20.0,0.2,42,me,mape,5.864382266998291,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
