eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.25,5,cosine,auto,4,100.0,20,1.0412044525146484,-0.054,3918.5323,4.0592,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,20.0,20,1.0016353130340576,-0.0178,3919.57,4.0211,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,inf,100,1.0501253604888916,-0.054,3918.5323,4.0592,skl_DBSCAN,fico.zip
0.25,5,cosine,auto,4,inf,20,1.0222828388214111,-0.054,3918.5323,4.0592,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,1000.0,100,0.0937879085540771,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,1000.0,20,0.1056888103485107,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,100.0,100,0.0895450115203857,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,100.0,20,0.0890564918518066,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,20.0,20,0.0950326919555664,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,inf,100,0.0892629623413086,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.25,5,euclidean,auto,4,inf,20,0.1969132423400879,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,1000.0,100,1.0426301956176758,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,1000.0,20,1.0218327045440674,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,100.0,100,1.0177547931671145,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,100.0,20,1.0294742584228516,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,20.0,20,1.0405027866363523,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,inf,100,1.0149767398834229,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,correlation,auto,4,inf,20,1.0201966762542725,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,1000.0,100,1.1153380870819092,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,1000.0,20,1.1613130569458008,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,100.0,100,1.1698217391967771,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,100.0,20,1.13757586479187,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,20.0,20,1.1308410167694092,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,inf,100,1.139537334442139,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,cosine,auto,4,inf,20,1.1834075450897217,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,1000.0,100,0.1043760776519775,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,1000.0,20,0.1054964065551757,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,100.0,100,0.0871717929840087,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,100.0,20,0.1036677360534668,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,20.0,20,0.0946314334869384,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,inf,100,0.1068260669708252,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,10,euclidean,auto,4,inf,20,0.0917370319366455,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,1000.0,100,1.0174267292022705,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,1000.0,20,1.0299549102783203,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,100.0,100,1.010493516921997,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,100.0,20,1.0188322067260742,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,20.0,20,1.032904863357544,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,inf,100,1.014885425567627,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,correlation,auto,4,inf,20,1.0152156352996826,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,1000.0,100,1.2267088890075684,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,1000.0,20,1.1981892585754397,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,100.0,100,1.1281867027282717,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,100.0,20,1.1926686763763428,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,20.0,20,1.132221221923828,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,inf,100,1.2138147354125977,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,cosine,auto,4,inf,20,1.146660566329956,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,1000.0,100,0.10310959815979,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,1000.0,20,0.10420823097229,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,100.0,100,0.0873486995697021,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,100.0,20,0.1028950214385986,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,20.0,20,0.0957605838775634,-0.1361,985.6675,0.8763,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,inf,100,0.1031978130340576,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,2,euclidean,auto,4,inf,20,0.1076087951660156,0.0922,1312.841,0.5969,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,1000.0,100,1.0230519771575928,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,1000.0,20,1.0148601531982422,0.0,0.0,0.0,skl_DBSCAN,fico.zip
