amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,10,inf,20,0.0108046531677246,0.133,81.2892,1.387,0.5975,0.2271,0.4789,0.367,0.3724,0.7253,0.2505,0.3724,0.4977,pyc_xmeans,wdbc_y.zip
12,14,1000.0,100,0.0145742893218994,0.144,85.72,1.3219,0.5905,0.2157,0.4821,0.3554,0.3605,0.7301,0.2394,0.3605,0.4818,pyc_xmeans,wdbc_y.zip
12,14,1000.0,20,0.0198493003845214,0.1167,78.1661,1.4842,0.5654,0.1712,0.5043,0.3405,0.3462,0.7637,0.2238,0.3462,0.4289,pyc_xmeans,wdbc_y.zip
12,14,100.0,100,0.0139672756195068,0.1296,78.9277,1.4252,0.5683,0.1756,0.4965,0.3428,0.3486,0.7519,0.2269,0.3486,0.4366,pyc_xmeans,wdbc_y.zip
12,14,100.0,20,0.027780532836914,0.123,75.6059,1.4012,0.5692,0.1773,0.5025,0.3477,0.3535,0.761,0.2302,0.3535,0.4384,pyc_xmeans,wdbc_y.zip
12,14,20.0,20,0.0260622501373291,0.1207,77.0971,1.3555,0.5683,0.1761,0.5174,0.3562,0.362,0.7835,0.2354,0.362,0.4355,pyc_xmeans,wdbc_y.zip
12,14,inf,100,0.0225310325622558,0.1168,77.714,1.4663,0.5595,0.1609,0.5193,0.3403,0.3457,0.7864,0.2216,0.3457,0.4153,pyc_xmeans,wdbc_y.zip
12,14,inf,20,0.0337429046630859,0.1318,76.0493,1.3036,0.5789,0.1951,0.4946,0.3496,0.3556,0.749,0.2331,0.3556,0.4582,pyc_xmeans,wdbc_y.zip
12,18,1000.0,100,0.0235495567321777,0.1308,71.0494,1.4243,0.5702,0.179,0.4808,0.3328,0.3392,0.7281,0.2211,0.3392,0.4409,pyc_xmeans,wdbc_y.zip
12,18,1000.0,20,0.0221490859985351,0.1291,81.2192,1.483,0.5684,0.1761,0.4967,0.3429,0.3482,0.7523,0.2265,0.3482,0.4359,pyc_xmeans,wdbc_y.zip
12,18,100.0,100,0.0141892433166503,0.1226,87.7103,1.6664,0.5658,0.1714,0.5,0.3434,0.3481,0.7572,0.226,0.3481,0.4309,pyc_xmeans,wdbc_y.zip
