n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
4,correlation,single,1000.0,20,1.1436562538146973,-0.2897,0.4306,1.6363,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,single,100.0,20,1.1422784328460691,-0.2897,0.4306,1.6363,skl_agglomerativeClust,ficoONEHOT.zip
4,correlation,single,inf,20,1.1425902843475342,-0.2897,0.4306,1.6363,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,average,1000.0,20,2.97259783744812,0.0805,1684.8141,2.3846,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,average,100.0,20,3.0020880699157715,0.0805,1684.8141,2.3846,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,average,inf,20,2.977735996246338,0.0805,1684.8141,2.3846,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,complete,1000.0,20,2.7810444831848145,-0.0009,675.5406,2.738,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,complete,100.0,20,2.7891128063201904,-0.0009,675.5406,2.738,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,complete,inf,20,2.795107364654541,-0.0009,675.5406,2.738,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,single,1000.0,20,1.1484379768371582,0.1528,2658.1403,0.6356,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,single,100.0,20,1.147660255432129,0.1528,2658.1403,0.6356,skl_agglomerativeClust,ficoONEHOT.zip
4,cosine,single,inf,20,1.1468219757080078,0.1528,2658.1403,0.6356,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,average,1000.0,20,3.214277982711792,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,average,100.0,20,3.2451539039611816,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,average,inf,20,3.230414390563965,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,complete,1000.0,20,3.0902318954467773,0.6633,2844.658,0.5086,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,complete,100.0,20,3.0644028186798096,0.6633,2844.658,0.5086,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,complete,inf,20,3.0724356174468994,0.6633,2844.658,0.5086,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,single,1000.0,20,1.636396408081055,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,single,100.0,20,1.6372478008270264,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,single,inf,20,1.6377031803131104,0.6667,2754.0862,0.2632,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,ward,1000.0,20,3.321234226226806,0.1508,3538.1514,1.975,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,ward,100.0,20,3.1344382762908936,0.1508,3538.1514,1.975,skl_agglomerativeClust,ficoONEHOT.zip
4,euclidean,ward,inf,20,3.130366325378418,0.1508,3538.1514,1.975,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,average,1000.0,20,3.046057939529419,0.0259,609.6469,2.4001,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,average,100.0,20,3.039893865585327,0.0259,609.6469,2.4001,skl_agglomerativeClust,ficoONEHOT.zip
