amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,2,1000.0,100,0.0834178924560546,0.1491,918.0596,1.6736,pyc_xmeans,wine.zip
10,2,1000.0,20,0.0736224651336669,0.1568,922.5988,1.759,pyc_xmeans,wine.zip
10,2,20.0,20,0.1218321323394775,0.1525,917.8111,1.6813,pyc_xmeans,wine.zip
10,2,inf,100,0.125133991241455,0.1657,952.2872,1.69,pyc_xmeans,wine.zip
10,2,inf,20,0.0756158828735351,0.1715,963.6374,1.6808,pyc_xmeans,wine.zip
10,6,1000.0,100,0.1322357654571533,0.1745,951.063,1.5956,pyc_xmeans,wine.zip
10,6,1000.0,20,0.0603940486907959,0.18,901.0654,1.4237,pyc_xmeans,wine.zip
10,6,20.0,20,0.097097635269165,0.1691,957.9307,1.6432,pyc_xmeans,wine.zip
10,6,inf,100,0.0702676773071289,0.1513,883.975,1.5409,pyc_xmeans,wine.zip
10,6,inf,20,0.1519126892089843,0.1621,950.7209,1.6842,pyc_xmeans,wine.zip
12,10,1000.0,100,0.1299653053283691,0.1629,876.733,1.6226,pyc_xmeans,wine.zip
12,10,1000.0,20,0.0813493728637695,0.1609,848.4575,1.6387,pyc_xmeans,wine.zip
12,10,20.0,20,0.1361958980560302,0.1562,821.6054,1.6297,pyc_xmeans,wine.zip
12,10,inf,100,0.0786020755767822,0.1612,819.3038,1.469,pyc_xmeans,wine.zip
12,10,inf,20,0.1302051544189453,0.1662,828.45,1.6472,pyc_xmeans,wine.zip
12,14,1000.0,100,0.1172163486480712,0.1545,778.4572,1.6596,pyc_xmeans,wine.zip
12,14,1000.0,20,0.1648719310760498,0.1537,773.819,1.6306,pyc_xmeans,wine.zip
12,14,20.0,20,0.1122107505798339,0.16,783.7228,1.6188,pyc_xmeans,wine.zip
12,14,inf,100,0.1193692684173584,0.1542,797.8987,1.7222,pyc_xmeans,wine.zip
12,14,inf,20,0.1097831726074218,0.1582,756.0079,1.5322,pyc_xmeans,wine.zip
12,18,1000.0,100,0.1066524982452392,0.1412,672.4659,1.739,pyc_xmeans,wine.zip
12,18,1000.0,20,0.1790690422058105,0.1462,660.5198,1.6178,pyc_xmeans,wine.zip
12,18,20.0,20,0.1511907577514648,0.1438,664.5589,1.7072,pyc_xmeans,wine.zip
12,18,inf,100,0.2032148838043213,0.1418,674.1374,1.7223,pyc_xmeans,wine.zip
12,18,inf,20,0.1164853572845459,0.1415,678.1213,1.813,pyc_xmeans,wine.zip
12,22,1000.0,100,0.2447507381439209,0.1349,586.624,1.7071,pyc_xmeans,wine.zip
12,22,1000.0,20,0.1570549011230468,0.1376,590.559,1.6926,pyc_xmeans,wine.zip
12,22,20.0,20,0.2878572940826416,0.1356,595.1659,1.7223,pyc_xmeans,wine.zip
12,22,inf,100,0.2101871967315673,0.1385,597.2889,1.76,pyc_xmeans,wine.zip
12,22,inf,20,0.2196669578552246,0.1331,600.8177,1.781,pyc_xmeans,wine.zip
12,2,1000.0,100,0.1317765712738037,0.1578,828.7306,1.6149,pyc_xmeans,wine.zip
12,2,1000.0,20,0.0749764442443847,0.1518,847.4119,1.7459,pyc_xmeans,wine.zip
12,2,20.0,20,0.0863826274871826,0.1569,843.4443,1.5663,pyc_xmeans,wine.zip
12,2,inf,100,0.0752723217010498,0.1647,837.2805,1.7753,pyc_xmeans,wine.zip
12,2,inf,20,0.1612980365753173,0.1531,850.0181,1.7553,pyc_xmeans,wine.zip
12,6,1000.0,100,0.0673754215240478,0.1752,840.7121,1.565,pyc_xmeans,wine.zip
12,6,1000.0,20,0.0746805667877197,0.1625,876.4002,1.6013,pyc_xmeans,wine.zip
12,6,20.0,20,0.08774995803833,0.1392,786.6111,1.962,pyc_xmeans,wine.zip
12,6,inf,100,0.1224813461303711,0.1534,851.0429,1.7053,pyc_xmeans,wine.zip
12,6,inf,20,0.0597655773162841,0.1426,818.7929,1.7598,pyc_xmeans,wine.zip
2,10,1000.0,100,0.1534192562103271,0.1594,970.3734,1.6586,pyc_xmeans,wine.zip
2,10,1000.0,20,0.1120200157165527,0.1518,907.0531,1.9315,pyc_xmeans,wine.zip
2,10,20.0,20,0.1125655174255371,0.1582,959.3838,1.6961,pyc_xmeans,wine.zip
2,10,inf,100,0.1607646942138672,0.1599,970.4367,1.656,pyc_xmeans,wine.zip
2,10,inf,20,0.1135590076446533,0.164,915.7965,1.495,pyc_xmeans,wine.zip
2,14,1000.0,100,0.1121001243591308,0.1537,787.6438,1.7333,pyc_xmeans,wine.zip
2,14,1000.0,20,0.1595234870910644,0.1498,792.9959,1.7371,pyc_xmeans,wine.zip
2,14,20.0,20,0.1118912696838378,0.1431,783.8162,1.7744,pyc_xmeans,wine.zip
2,14,inf,100,0.1407504081726074,0.1535,758.5104,1.7095,pyc_xmeans,wine.zip
2,14,inf,20,0.1308584213256836,0.149,793.7086,1.7618,pyc_xmeans,wine.zip
2,18,1000.0,100,0.125,0.1385,674.201,1.7841,pyc_xmeans,wine.zip
2,18,1000.0,20,0.1432662010192871,0.1418,673.5605,1.7762,pyc_xmeans,wine.zip
2,18,20.0,20,0.2191686630249023,0.1387,656.9406,1.7484,pyc_xmeans,wine.zip
2,18,inf,100,0.1997296810150146,0.1371,653.7375,1.7573,pyc_xmeans,wine.zip
