n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,6,IMM,inf,20,0.0568745136260986,0.2344,1552.1302,1.7901,ExKMC,wine.zip
2,6,NONE,1000.0,100,0.1506378650665283,0.2335,1550.7743,1.7957,ExKMC,wine.zip
2,6,NONE,1000.0,20,0.1498711109161377,0.2335,1550.7743,1.7957,ExKMC,wine.zip
2,6,NONE,100.0,100,0.0637643337249755,0.2339,1550.5585,1.7923,ExKMC,wine.zip
2,6,NONE,100.0,20,0.1506009101867675,0.2335,1550.7743,1.7957,ExKMC,wine.zip
2,6,NONE,inf,100,0.1540460586547851,0.2335,1550.7743,1.7957,ExKMC,wine.zip
2,6,NONE,inf,20,0.0640044212341308,0.2335,1550.7743,1.7957,ExKMC,wine.zip
2,8,IMM,1000.0,100,0.0683915615081787,0.2357,1565.9312,1.7803,ExKMC,wine.zip
2,8,IMM,1000.0,20,0.1536707878112793,0.2357,1565.9312,1.7803,ExKMC,wine.zip
2,8,IMM,100.0,100,0.1436665058135986,0.2361,1567.4345,1.7786,ExKMC,wine.zip
2,8,IMM,100.0,20,0.0672974586486816,0.2357,1565.9312,1.7803,ExKMC,wine.zip
2,8,IMM,inf,100,0.066995620727539,0.2357,1565.9312,1.7803,ExKMC,wine.zip
2,8,IMM,inf,20,0.15317964553833,0.2357,1565.9312,1.7803,ExKMC,wine.zip
2,8,NONE,1000.0,100,0.1543641090393066,0.2354,1566.9716,1.7784,ExKMC,wine.zip
2,8,NONE,1000.0,20,0.1547486782073974,0.2354,1566.9716,1.7784,ExKMC,wine.zip
2,8,NONE,100.0,100,0.1516749858856201,0.2361,1567.4345,1.7786,ExKMC,wine.zip
2,8,NONE,100.0,20,0.1540977954864502,0.2354,1566.9716,1.7784,ExKMC,wine.zip
2,8,NONE,inf,100,0.0708732604980468,0.2354,1566.9716,1.7784,ExKMC,wine.zip
2,8,NONE,inf,20,0.1541173458099365,0.2354,1566.9716,1.7784,ExKMC,wine.zip
4,10,IMM,1000.0,100,0.0606586933135986,0.1847,1253.6721,1.7654,ExKMC,wine.zip
4,10,IMM,1000.0,20,0.1446468830108642,0.1847,1253.6721,1.7654,ExKMC,wine.zip
4,10,IMM,100.0,100,0.1551270484924316,0.1846,1250.5015,1.7661,ExKMC,wine.zip
4,10,IMM,100.0,20,0.1444292068481445,0.1847,1253.6721,1.7654,ExKMC,wine.zip
4,10,IMM,inf,100,0.1438784599304199,0.1847,1253.6721,1.7654,ExKMC,wine.zip
4,10,IMM,inf,20,0.1448512077331543,0.1847,1253.6721,1.7654,ExKMC,wine.zip
4,10,NONE,1000.0,100,0.1561422348022461,0.1953,1286.8358,1.7283,ExKMC,wine.zip
4,10,NONE,1000.0,20,0.1751947402954101,0.1953,1286.8358,1.7283,ExKMC,wine.zip
4,10,NONE,100.0,100,0.156346321105957,0.1945,1280.0605,1.7341,ExKMC,wine.zip
4,10,NONE,100.0,20,0.18975830078125,0.1953,1286.8358,1.7283,ExKMC,wine.zip
4,10,NONE,inf,100,0.1655588150024414,0.1953,1286.8358,1.7283,ExKMC,wine.zip
4,10,NONE,inf,20,0.0819683074951171,0.1953,1286.8358,1.7283,ExKMC,wine.zip
4,12,IMM,1000.0,100,0.1489899158477783,0.1902,1290.2997,1.7455,ExKMC,wine.zip
4,12,IMM,1000.0,20,0.0639848709106445,0.1902,1290.2997,1.7455,ExKMC,wine.zip
4,12,IMM,100.0,100,0.1481056213378906,0.1899,1287.4677,1.7459,ExKMC,wine.zip
4,12,IMM,100.0,20,0.1494593620300293,0.1902,1290.2997,1.7455,ExKMC,wine.zip
4,12,IMM,inf,100,0.0642271041870117,0.1902,1290.2997,1.7455,ExKMC,wine.zip
4,12,IMM,inf,20,0.0639595985412597,0.1902,1290.2997,1.7455,ExKMC,wine.zip
4,12,NONE,1000.0,100,0.0910336971282959,0.1956,1303.534,1.732,ExKMC,wine.zip
4,12,NONE,1000.0,20,0.0911376476287841,0.1956,1303.534,1.732,ExKMC,wine.zip
4,12,NONE,100.0,100,0.0887398719787597,0.1948,1296.7353,1.7375,ExKMC,wine.zip
4,12,NONE,100.0,20,0.0878703594207763,0.1956,1303.534,1.732,ExKMC,wine.zip
4,12,NONE,inf,100,0.1772012710571289,0.1956,1303.534,1.732,ExKMC,wine.zip
4,12,NONE,inf,20,0.1769134998321533,0.1956,1303.534,1.732,ExKMC,wine.zip
4,4,IMM,1000.0,100,0.0284295082092285,0.1565,952.3097,1.8442,ExKMC,wine.zip
4,4,IMM,1000.0,20,0.0283615589141845,0.1565,952.3097,1.8442,ExKMC,wine.zip
4,4,IMM,100.0,100,0.1148164272308349,0.1567,951.0048,1.8405,ExKMC,wine.zip
4,4,IMM,100.0,20,0.0286562442779541,0.1565,952.3097,1.8442,ExKMC,wine.zip
4,4,IMM,inf,100,0.0282599925994873,0.1565,952.3097,1.8442,ExKMC,wine.zip
4,4,IMM,inf,20,0.0281322002410888,0.1565,952.3097,1.8442,ExKMC,wine.zip
4,4,NONE,1000.0,100,0.1393215656280517,0.1877,1446.4623,1.7939,ExKMC,wine.zip
4,4,NONE,1000.0,20,0.1464028358459472,0.1877,1446.4623,1.7939,ExKMC,wine.zip
4,4,NONE,100.0,100,0.1396796703338623,0.1874,1439.7859,1.8007,ExKMC,wine.zip
4,4,NONE,100.0,20,0.1446857452392578,0.1877,1446.4623,1.7939,ExKMC,wine.zip
4,4,NONE,inf,100,0.0615460872650146,0.1877,1446.4623,1.7939,ExKMC,wine.zip
4,4,NONE,inf,20,0.1436355113983154,0.1877,1446.4623,1.7939,ExKMC,wine.zip
4,6,IMM,1000.0,100,0.134608507156372,0.1685,1119.6231,1.9131,ExKMC,wine.zip
4,6,IMM,1000.0,20,0.0491917133331298,0.1685,1119.6231,1.9131,ExKMC,wine.zip
