n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,cosine,single,0.1403322219848632,-0.0137,3.0766,1.119,0.0677,0.0,0.0017,0.0005,0.0012,0.0006,0.3293,0.0012,0.258,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,average,0.3518617153167724,0.394,3606.7195,1.074,0.5621,0.1299,0.6741,0.3965,0.397,0.249,0.9779,0.397,0.3616,,,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,average,0.3679401874542236,0.394,3606.7195,1.074,0.5621,0.1299,0.6741,0.3965,0.397,0.249,0.9779,0.397,0.3616,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,average,0.3673927783966064,0.394,3606.7195,1.074,0.5621,0.1299,0.6741,0.3965,0.397,0.249,0.9779,0.397,0.3616,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,average,0.3680028915405273,0.394,3606.7195,1.074,0.5621,0.1299,0.6741,0.3965,0.397,0.249,0.9779,0.397,0.3616,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,complete,0.3396880626678467,0.3081,2486.5191,1.2742,0.5462,0.1096,0.5698,0.3357,0.3362,0.2105,0.8356,0.3362,0.3359,,,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,complete,0.3587136268615722,0.3081,2486.5191,1.2742,0.5462,0.1096,0.5698,0.3357,0.3362,0.2105,0.8356,0.3362,0.3359,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,complete,0.358126163482666,0.3081,2486.5191,1.2742,0.5462,0.1096,0.5698,0.3357,0.3362,0.2105,0.8356,0.3362,0.3359,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,complete,0.3574442863464355,0.3081,2486.5191,1.2742,0.5462,0.1096,0.5698,0.3357,0.3362,0.2105,0.8356,0.3362,0.3359,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,single,0.1042113304138183,0.2294,5.3992,0.5875,0.0673,0.0,0.0011,0.0002,0.0008,0.0004,0.314,0.0008,0.258,,,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,single,0.10772705078125,0.2294,5.3992,0.5875,0.0673,0.0,0.0011,0.0002,0.0008,0.0004,0.314,0.0008,0.258,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
2,euclidean,single,0.1074342727661132,0.2294,5.3992,0.5875,0.0673,0.0,0.0011,0.0002,0.0008,0.0004,0.314,0.0008,0.258,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
