max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,12,30,50,20,20,0.1,42,2,False,2,10.362903594970703,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,1,False,0,9.772377014160156,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,1,False,1,9.782921314239502,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,1,False,2,9.780843496322632,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,2,False,0,10.124630451202393,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,2,False,1,10.208837985992432,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.0,42,2,False,2,10.158102750778198,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,1,False,0,9.645664930343628,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,1,False,1,9.336037874221802,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,1,False,2,9.429476976394652,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,2,False,0,10.164344549179075,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,2,False,1,10.190197229385376,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,30,5,20,20,0.1,42,2,False,2,10.223967790603638,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,1,False,0,9.446291446685793,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,1,False,1,9.673790216445925,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,1,False,2,9.653386116027832,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,2,False,0,9.9741051197052,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,2,False,1,10.141458988189695,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.0,42,2,False,2,10.198472499847412,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,1,False,0,9.763472080230711,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,1,False,1,9.57416820526123,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,1,False,2,9.38656520843506,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,2,False,0,9.705787420272827,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,2,False,1,10.112362146377563,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,50,20,20,0.1,42,2,False,2,9.706534624099731,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,1,False,0,9.527878284454346,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,1,False,1,9.611302375793455,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,1,False,2,9.570868730545044,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,2,False,0,10.382109880447388,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,2,False,1,10.235219478607178,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.0,42,2,False,2,10.144397497177124,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,1,False,0,9.591396808624268,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,1,False,1,9.197301626205444,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,1,False,2,9.515381336212158,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,2,False,0,10.098902702331545,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,2,False,1,9.948522329330444,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,12,3,5,20,20,0.1,42,2,False,2,10.339523315429688,0.151,9515.3546,2.2095,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,1,False,0,5.516194820404053,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,1,False,1,5.558576583862305,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,1,False,2,5.703533887863159,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,1,False,5,5.68375301361084,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,2,False,0,5.752821922302246,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,2,False,1,5.899871826171875,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,2,False,2,5.795102119445801,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,2,False,5,5.801219701766968,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,3,False,0,6.152753114700317,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,3,False,1,6.326712846755981,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,3,False,2,6.243076086044312,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.0,42,3,False,5,6.371821165084839,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,1,False,0,5.490661382675171,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,1,False,1,5.671765565872192,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,1,False,2,5.712210178375244,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,1,False,5,5.624423742294312,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,2,False,0,5.80201530456543,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,2,False,1,5.829445838928223,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,2,False,2,5.8486487865448,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,2,False,5,5.759988069534302,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,3,False,0,6.037951231002808,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,3,False,1,6.178195476531982,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,3,False,2,6.225499391555786,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.1,42,3,False,5,6.35826301574707,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,1,False,0,5.470712423324585,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,1,False,1,5.592741250991821,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,1,False,2,5.732994794845581,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,1,False,5,5.4733850955963135,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,2,False,0,5.751929044723511,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,2,False,1,5.8289337158203125,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,2,False,2,5.927424430847168,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,2,False,5,5.789856195449829,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,3,False,0,6.18343186378479,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,3,False,1,5.972979068756104,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,3,False,2,6.042330026626587,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,50,20,20,0.2,42,3,False,5,6.0290846824646,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,1,False,0,5.61940860748291,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,1,False,1,5.586157560348511,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,1,False,2,5.712583541870117,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,1,False,5,5.777607440948486,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,2,False,0,5.741806983947754,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,2,False,1,5.780941486358643,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,2,False,2,5.973918676376343,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,2,False,5,6.029657602310181,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,3,False,0,6.621608018875122,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,3,False,1,6.152181148529053,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,3,False,2,6.2181477546691895,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.0,42,3,False,5,6.050326347351074,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,1,False,0,5.660278558731079,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,1,False,1,5.6333091259002686,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,1,False,2,5.634243488311768,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
