n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,correlation,complete,100.0,20,0.0151524543762207,0.0916,82.2861,1.9335,0.4457,0.0128,0.0238,0.0125,0.0163,0.039,0.0103,0.0163,0.2708,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,complete,inf,20,0.0148415565490722,0.0916,82.2861,1.9335,0.4457,0.0128,0.0238,0.0125,0.0163,0.039,0.0103,0.0163,0.2708,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,single,1000.0,20,0.0079565048217773,-0.325,2.5296,0.9868,0.582,0.0183,0.0112,0.0125,0.0306,0.0184,0.0913,0.0306,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,single,100.0,20,0.0079720020294189,-0.325,2.5296,0.9868,0.582,0.0183,0.0112,0.0125,0.0306,0.0184,0.0913,0.0306,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,correlation,single,inf,20,0.0079560279846191,-0.325,2.5296,0.9868,0.582,0.0183,0.0112,0.0125,0.0306,0.0184,0.0913,0.0306,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,average,1000.0,20,0.0153889656066894,0.1726,124.0931,1.445,0.4378,0.0022,0.019,0.0091,0.0128,0.0311,0.008,0.0128,0.2454,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,average,100.0,20,0.0154109001159667,0.1726,124.0931,1.445,0.4378,0.0022,0.019,0.0091,0.0128,0.0311,0.008,0.0128,0.2454,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,average,inf,20,0.015385627746582,0.1726,124.0931,1.445,0.4378,0.0022,0.019,0.0091,0.0128,0.0311,0.008,0.0128,0.2454,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,complete,1000.0,20,0.0144321918487548,0.1348,106.9123,1.4825,0.4372,0.0011,0.0129,0.005,0.0087,0.0211,0.0055,0.0087,0.2441,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,complete,100.0,20,0.0143971443176269,0.1348,106.9123,1.4825,0.4372,0.0011,0.0129,0.005,0.0087,0.0211,0.0055,0.0087,0.2441,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,complete,inf,20,0.0145432949066162,0.1348,106.9123,1.4825,0.4372,0.0011,0.0129,0.005,0.0087,0.0211,0.0055,0.0087,0.2441,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,single,1000.0,20,0.0082607269287109,-0.3266,17.4874,1.5269,0.5362,0.0022,0.0071,0.0008,0.0124,0.0116,0.0134,0.0124,0.6472,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,single,100.0,20,0.0079247951507568,-0.3266,17.4874,1.5269,0.5362,0.0022,0.0071,0.0008,0.0124,0.0116,0.0134,0.0124,0.6472,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,cosine,single,inf,20,0.008162498474121,-0.3266,17.4874,1.5269,0.5362,0.0022,0.0071,0.0008,0.0124,0.0116,0.0134,0.0124,0.6472,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,euclidean,average,1000.0,20,0.0157668590545654,0.1891,62.7833,1.2232,0.506,0.019,0.0179,0.0131,0.0197,0.0292,0.0148,0.0197,0.5352,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,euclidean,average,100.0,20,0.0195488929748535,0.1891,62.7833,1.2232,0.506,0.019,0.0179,0.0131,0.0197,0.0292,0.0148,0.0197,0.5352,skl_agglomerativeClust,german_creditONEHOT_y.zip
12,euclidean,average,inf,20,0.0157811641693115,0.1891,62.7833,1.2232,0.506,0.019,0.0179,0.0131,0.0197,0.0292,0.0148,0.0197,0.5352,skl_agglomerativeClust,german_creditONEHOT_y.zip
