amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,2,0.0200879573822021,0.3444,1107.6715,1.2366,0.5709,0.1418,0.1709,0.2561,0.2567,0.2675,0.2467,0.2567,0.6362,pyc_xmeans,cure-t0-2000n-2D_y.zip
2,22,0.0687105655670166,0.4724,2605.2278,0.7268,0.4887,0.165,0.639,0.4975,0.4987,1.0,0.3322,0.4987,0.4744,pyc_xmeans,cure-t0-2000n-2D_y.zip
2,6,0.0201575756072998,0.4811,2389.9548,0.6711,0.5199,0.2026,0.6273,0.5251,0.5261,0.9816,0.3594,0.5261,0.522,pyc_xmeans,cure-t0-2000n-2D_y.zip
3,3,0.015296459197998,0.4457,2075.9472,0.7782,0.5963,0.2667,0.3644,0.4221,0.4228,0.5702,0.3359,0.4228,0.6295,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,10,0.0215544700622558,0.4725,2603.706,0.7258,0.4886,0.1649,0.639,0.4975,0.4987,1.0,0.3322,0.4987,0.4744,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,14,0.0200269222259521,0.4727,2603.3695,0.7245,0.4887,0.165,0.639,0.4976,0.4987,1.0,0.3322,0.4987,0.4745,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,18,0.0187244415283203,0.4724,2605.2079,0.7266,0.4887,0.165,0.639,0.4975,0.4987,1.0,0.3322,0.4987,0.4744,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,2,0.0137069225311279,0.4025,1979.6662,0.8537,0.5063,0.1488,0.3682,0.3627,0.3637,0.5762,0.2657,0.3637,0.5123,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,22,0.0168945789337158,0.4544,2452.9757,0.7297,0.4893,0.1657,0.639,0.4979,0.4991,1.0,0.3325,0.4991,0.4753,pyc_xmeans,cure-t0-2000n-2D_y.zip
4,6,0.0215568542480468,0.4707,2376.3691,0.6955,0.5113,0.1892,0.5877,0.4902,0.4913,0.9197,0.3351,0.4913,0.5094,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,10,0.0698897838592529,0.4841,2399.792,0.6599,0.5209,0.204,0.6334,0.5305,0.5315,0.9912,0.3631,0.5315,0.5233,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,14,0.0192723274230957,0.4808,2386.1872,0.6764,0.5194,0.2019,0.6255,0.5234,0.5244,0.9788,0.3581,0.5244,0.5212,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,18,0.0208001136779785,0.4724,2605.3006,0.7271,0.4886,0.1649,0.639,0.4975,0.4987,1.0,0.3322,0.4987,0.4743,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,2,0.0140066146850585,0.4739,2369.017,0.6966,0.516,0.1966,0.6067,0.507,0.508,0.9495,0.3468,0.508,0.5162,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,22,0.0168149471282959,0.4841,2397.7656,0.6592,0.5215,0.2049,0.639,0.5354,0.5364,1.0,0.3665,0.5364,0.5242,pyc_xmeans,cure-t0-2000n-2D_y.zip
6,6,0.0158843994140625,0.4809,2385.4664,0.6775,0.52,0.2028,0.6292,0.5267,0.5276,0.9846,0.3604,0.5276,0.522,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,10,0.0189924240112304,0.4564,2690.6895,0.7301,0.4667,0.139,0.639,0.4702,0.4715,1.0,0.3085,0.4715,0.4379,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,14,0.0160591602325439,0.4536,2650.4252,0.7484,0.4678,0.1403,0.639,0.4709,0.4723,1.0,0.3092,0.4723,0.4399,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,18,0.0163400173187255,0.4575,2696.5611,0.7193,0.4669,0.1392,0.639,0.4703,0.4717,1.0,0.3086,0.4717,0.4382,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,2,0.0138146877288818,0.4607,2717.3223,0.7189,0.4673,0.1397,0.639,0.4706,0.4719,1.0,0.3089,0.4719,0.4389,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,22,0.0719609260559082,0.4556,2671.7684,0.7308,0.4673,0.1397,0.639,0.4706,0.4719,1.0,0.3089,0.4719,0.4389,pyc_xmeans,cure-t0-2000n-2D_y.zip
8,6,0.0132172107696533,0.4548,2674.2985,0.7256,0.4668,0.1392,0.639,0.4703,0.4716,1.0,0.3086,0.4716,0.4382,pyc_xmeans,cure-t0-2000n-2D_y.zip
