max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,3,5,1000.0,100.0,0.0,42,cos,jaccard,114.49972033500671,-0.0876,26.5025,1.3909,CenterParTree2,wine.zip
10,10,3,5,1000.0,100.0,0.1,42,cos,jaccard,280.2400300502777,-0.0381,327.9774,2.639,CenterParTree2,wine.zip
10,10,3,5,1000.0,20.0,0.1,42,cos,jaccard,327.2498109340668,-0.1173,53.0427,0.8251,CenterParTree2,wine.zip
10,10,3,5,1000.0,20.0,0.2,42,cos,jaccard,326.1707172393799,-0.0003,79.1641,0.7637,CenterParTree2,wine.zip
10,10,3,5,1000.0,inf,0.0,42,cos,jaccard,31.39007329940796,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,5,1000.0,inf,0.1,42,cos,jaccard,31.160839080810547,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,5,1000.0,inf,0.2,42,cos,jaccard,31.08155989646912,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,5,100.0,100.0,0.0,42,cos,jaccard,8.221263647079468,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,100.0,100.0,0.1,42,cos,jaccard,8.390782594680786,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,100.0,100.0,0.2,42,cos,jaccard,8.293949365615845,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,100.0,inf,0.0,42,cos,jaccard,8.356913328170776,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,100.0,inf,0.1,42,cos,jaccard,8.501542329788208,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,100.0,inf,0.2,42,cos,jaccard,8.28445553779602,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,5,inf,100.0,0.0,42,cos,jaccard,169.1416530609131,0.0693,418.5087,2.5194,CenterParTree2,wine.zip
10,10,3,5,inf,100.0,0.1,42,cos,jaccard,293.03583693504333,-0.079,195.1652,1.37,CenterParTree2,wine.zip
10,10,3,5,inf,100.0,0.2,42,cos,jaccard,303.7682375907898,-0.1507,167.244,1.4877,CenterParTree2,wine.zip
10,10,3,5,inf,20.0,0.0,42,cos,jaccard,78.9862585067749,0.1083,431.0016,1.8313,CenterParTree2,wine.zip
10,10,3,5,inf,20.0,0.1,42,cos,jaccard,386.9877142906189,-0.1142,93.2991,1.1099,CenterParTree2,wine.zip
10,10,3,5,inf,20.0,0.2,42,cos,jaccard,331.0604729652405,-0.0572,33.4458,0.9849,CenterParTree2,wine.zip
10,10,3,5,inf,inf,0.0,42,cos,jaccard,30.62857484817505,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,5,inf,inf,0.1,42,cos,jaccard,32.25587868690491,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,5,inf,inf,0.2,42,cos,jaccard,30.26483654975891,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,12,30,50,1000.0,100.0,0.0,42,cos,jaccard,202.30437850952148,-0.002,162.1988,1.4867,CenterParTree2,wine.zip
10,12,30,50,1000.0,100.0,0.2,42,cos,jaccard,340.12307596206665,-0.0394,251.5733,2.5443,CenterParTree2,wine.zip
10,12,30,50,1000.0,20.0,0.1,42,cos,jaccard,373.2922406196594,-0.0708,46.376,0.9554,CenterParTree2,wine.zip
10,12,30,50,1000.0,inf,0.0,42,cos,jaccard,36.54139161109924,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,50,1000.0,inf,0.1,42,cos,jaccard,36.77010798454285,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,50,1000.0,inf,0.2,42,cos,jaccard,35.95828914642334,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,50,100.0,100.0,0.0,42,cos,jaccard,10.356075763702393,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,100.0,100.0,0.1,42,cos,jaccard,10.021783351898192,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,100.0,100.0,0.2,42,cos,jaccard,10.319052934646606,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,100.0,inf,0.0,42,cos,jaccard,10.27232575416565,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,100.0,inf,0.1,42,cos,jaccard,10.001928806304932,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,100.0,inf,0.2,42,cos,jaccard,10.445810794830322,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,50,inf,100.0,0.0,42,cos,jaccard,73.19774270057678,0.2958,33.3833,1.2597,CenterParTree2,wine.zip
10,12,30,50,inf,20.0,0.1,42,cos,jaccard,368.3382468223572,-0.1628,22.9784,0.6232,CenterParTree2,wine.zip
10,12,30,50,inf,20.0,0.2,42,cos,jaccard,368.49974060058594,-0.1862,45.8789,1.0706,CenterParTree2,wine.zip
10,12,30,50,inf,inf,0.0,42,cos,jaccard,36.28939199447632,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,50,inf,inf,0.1,42,cos,jaccard,35.99539589881897,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,50,inf,inf,0.2,42,cos,jaccard,37.25090980529785,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,1000.0,100.0,0.0,42,cos,jaccard,136.23912644386292,0.0059,294.8647,1.6872,CenterParTree2,wine.zip
10,12,30,5,1000.0,100.0,0.1,42,cos,jaccard,433.2324142456055,-0.0999,107.0822,6.0149,CenterParTree2,wine.zip
10,12,30,5,1000.0,100.0,0.2,42,cos,jaccard,387.34765100479126,-0.2507,107.2401,2.4376,CenterParTree2,wine.zip
10,12,30,5,1000.0,20.0,0.1,42,cos,jaccard,372.0031695365906,-0.2477,61.5278,1.0972,CenterParTree2,wine.zip
10,12,30,5,1000.0,inf,0.0,42,cos,jaccard,36.325575828552246,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,1000.0,inf,0.1,42,cos,jaccard,36.12015748023987,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,1000.0,inf,0.2,42,cos,jaccard,36.73718619346619,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,100.0,100.0,0.0,42,cos,jaccard,9.97563934326172,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,100.0,100.0,0.1,42,cos,jaccard,10.417840242385864,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,100.0,100.0,0.2,42,cos,jaccard,10.019519329071043,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,100.0,inf,0.0,42,cos,jaccard,9.978686094284058,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,100.0,inf,0.1,42,cos,jaccard,10.386225938796995,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,100.0,inf,0.2,42,cos,jaccard,10.011459112167358,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,30,5,inf,100.0,0.0,42,cos,jaccard,277.4542534351349,0.0557,498.0219,2.4292,CenterParTree2,wine.zip
10,12,30,5,inf,100.0,0.1,42,cos,jaccard,364.1368074417114,-0.0466,299.6426,1.901,CenterParTree2,wine.zip
10,12,30,5,inf,20.0,0.1,42,cos,jaccard,370.3401894569397,-0.1812,43.2524,1.0863,CenterParTree2,wine.zip
10,12,30,5,inf,inf,0.0,42,cos,jaccard,36.197147369384766,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,inf,inf,0.1,42,cos,jaccard,36.91858077049256,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,30,5,inf,inf,0.2,42,cos,jaccard,36.484986305236816,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
