,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
54,german_creditONEHOT_y,kmeans+dt,2.0,,,inf,20.0,0.0302646160125732,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
55,german_creditONEHOT_y,kmodes,2.0,,,1000.0,20.0,0.1002314090728759,0.0558,46.6541,3.6562,0.5203,-0.0017,0.0,-0.0009,0.0,0.0,0.0,0.0,0.6049,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
56,german_creditONEHOT_y,pyc_xmeans,,,,100.0,20.0,0.0090150833129882,0.2578,172.9196,1.6515,0.5371,-0.0017,0.0,-0.001,0.0,0.0,0.0,0.0,0.6533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
57,german_creditONEHOT_y,skl_DBSCAN,,,,1000.0,20.0,0.01318359375,0.1259,71.3137,3.5398,0.5161,0.0158,0.0021,0.0016,0.003,0.0035,0.0027,0.003,0.5726,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,correlation,4.0,,,,,,,,,,,,,,,,,
58,german_creditONEHOT_y,skl_OPTICS,,,,1000.0,20.0,3.8002326488494873,0.1236,7.9355,1.224,0.4311,0.002,0.1805,0.0058,0.0677,0.2955,0.0382,0.0677,0.1891,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,cosine,4.0,,,,,,,,,inf,,,,,,,,
59,german_creditONEHOT_y,skl_agglomerativeClust,2.0,,,100.0,20.0,0.0094826221466064,0.4156,4.6499,0.4408,0.5788,-0.0011,0.0004,-0.0008,0.0012,0.0006,0.0451,0.0012,0.7602,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
60,german_creditONEHOT_y,skl_birch,4.0,,,100.0,20.0,0.0385143756866455,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
61,german_creditONEHOT_y,skl_bis_kmeans,2.0,,,1000.0,20.0,0.0577263832092285,0.2313,193.0438,1.8761,0.5608,0.0745,0.0128,0.0216,0.0225,0.0209,0.0244,0.0225,0.647,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,german_creditONEHOT_y,skl_kmeans,2.0,,,inf,20.0,0.0683038234710693,0.2313,193.0438,1.8761,0.5608,0.0745,0.0128,0.0216,0.0225,0.0209,0.0244,0.0225,0.647,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,iris_y,ExKMC,2.0,2.0,IMM,100.0,100.0,0.0022518634796142,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
